"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","Q9UER7","DAXX_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","Q4KMP7","TB10B_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","P49916","DNLI3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","Q9NPG3","UBN1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","Q8IUE6","H2A2B_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","O95714","HERC2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","D0UZU1","D0UZU1_HHV8 ","Q9Y4C1","KDM3A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q96BQ5","CC127_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q96EE4","CC126_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q5UCC4","EMC10_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q10471","GALT2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q8TED1","GPX8_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q09328","MGT5A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q9NTJ5","SAC1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76SF8","Q76SF8_HHV8 ","Q99442","SEC62_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77UU3","Q77UU3_HHV8 ","O94766","B3GA3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q14257","RCN2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q9NVI7","ATD3A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q9HCN8","SDF2L_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q99470","SDF2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","P01891","1A68_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q9UBS4","DJB11_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q99623","PHB2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","Q15293","RCN1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","P88970","P88970_HHV8 ","P27797","CALR_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q9DUN1","Q9DUN1_HHV8 ","Q6PD62","CTR9_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q9DUN1","Q9DUN1_HHV8 ","Q9NVE7","PANK4_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q9DUM9","Q9DUM9_HHV8 ","P35556","FBN2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q9DUM9","Q9DUM9_HHV8 ","Q9NW64","RBM22_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","F5HFL9","F5HFL9_HHV8 ","Q8WV44","TRI41_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","F5HFL9","F5HFL9_HHV8 ","P62310","LSM3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","F5HFL9","F5HFL9_HHV8 ","O43172","PRP4_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","F5HFL9","F5HFL9_HHV8 ","O43395","PRPF3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","F5HFL9","F5HFL9_HHV8 ","Q15020","SART3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RJ0","Q76RJ0_HHV8 ","Q7Z7L7","ZER1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q86T03","TM55B_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9Y6C9","MTCH2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q96QT4","TRPM7_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O75431","MTX2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q99735","MGST2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q96DZ1","ERLEC_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q96P47","AGAP3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O94822","LTN1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q6YHU6","THADA_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9UPT5","EXOC7_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9BYC5","FUT8_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q07864","DPOE1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P55084","ECHB_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P78347","GTF2I_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q6IAA8","LTOR1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O43759","SNG1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O00471","EXOC5_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9Y5Q8","TF3C5_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O14949","QCR8_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P10606","COX5B_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P61421","VA0D1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9BW72","HIG2A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8IWV8","UBR2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q99873","ANM1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P31930","QCR1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q92896","GSLG1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P00395","COX1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8IZT6","ASPM_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P14406","CX7A2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9Y2R0","COA3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q12789","TF3C1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q96QD8","S38A2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O95260","ATE1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P13073","COX41_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8WUA4","TF3C2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9UBU6","FA8A1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9UKN8","TF3C4_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O95470","SGPL1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9BZF1","OSBL8_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8NB49","AT11C_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9ULF5","S39AA_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P35610","SOAT1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9Y6M9","NDUB9_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8N1B4","VPS52_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O96000","NDUBA_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q93050","VPP1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q86YS7","C2CD5_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9BRQ6","MIC25_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O95167","NDUA3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O43920","NDUS5_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P11233","RALA_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P49821","NDUV1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O95169","NDUB8_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P09669","COX6C_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q86TM6","SYVN1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9Y512","SAM50_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q96N66","MBOA7_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9ULK5","VANG2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O14548","COX7R_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q96KP1","EXOC2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9NV70","EXOC1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q6ZPD9","D19L3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P15954","COX7C_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8TAA9","VANG1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q9BRX8","F213A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q8N4L2","TM55A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","Q5VT98","PRA20_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P19404","NDUV2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P17152","TMM11_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","P10176","COX8A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O36551","O36551_HHV8 ","O43427","FIBP_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","P20719","HXA5_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q6ZN17","LN28B_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q1ED39","KNOP1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9NUL7","DDX28_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9P031","TAP26_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q14493","SLBP_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q8N567","ZCHC9_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","O15211","RGL2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q96GY0","ZC21A_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q6ZSJ8","CA122_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q8TBK6","ZCH10_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9P2N5","RBM27_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9BQ04","RBM4B_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9UL40","ZN346_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","P16278","BGAL_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9ULM3","YETS2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q8N5P1","ZC3H8_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","O92597","O92597_HHV8 ","Q9BRP8","PYM1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q9NZI7","UBIP1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q12800","TFCP2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","O75487","GPC4_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q92901","RL3L_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","P06400","RB_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","P34741","SDC2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","P28749","RBL1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q92793","CBP_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q96IZ0","PAWR_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q09472","EP300_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q77Q82","Q77Q82_HHV8 ","Q9H0I2","ENKD1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q9UKV8","AGO2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P52948","NUP98_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P35658","NU214_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q9Y3E2","BOLA1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","O75390","CISY_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q96EE3","SEH1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","O75592","MYCB2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","O43148","MCES_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q7Z739","YTHD3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q9BYJ9","YTHD1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q99567","NUP88_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P78332","RBM6_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P78406","RAE1L_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P37198","NUP62_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q9NR28","DBLOH_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q9UPU5","UBP24_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P13798","ACPH_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","P04066","FUCO_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","O15504","NUPL2_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","E5LBS6","E5LBS6_HHV8 ","Q96B36","AKTS1_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q53GT1","KLH22_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q5T2T1","MPP7_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q969S3","ZN622_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q13618","CUL3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q9P2J3","KLHL9_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q9H4A6","GOLP3_HUMAN ","Other Methods","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) ","37296","Q76RI8","Q76RI8_HHV8 ","Q9H4A5","GLP3L_HUMAN ","Other Methods","25544563"
