"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P50991","TCPD_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P55795","HNRH2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P62249","RS16_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P62269","RS18_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P68104","EF1A1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P78371","TCPB_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q05639","EF1A2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q06830","PRDX1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q08380","LG3BP_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q13162","PRDX4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q16543","CDC37_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q6NSJ2","PHLB3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q8NF91","SYNE1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q9BUJ2","HNRL1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P06241","FYN_HUMAN ","affinity chromatography technology","16537602"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","O14654","IRS4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","O14734","ACOT8_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P05141","ADT2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P07437","TBB5_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P07900","HS90A_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P08238","HS90B_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P12236","ADT3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P17987","TCPA_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P23396","RS3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P24666","PPAC_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P31943","HNRH1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P40227","TCPZ_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P49368","TCPG_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P50990","TCPQ_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P50991","TCPD_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P55795","HNRH2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P62249","RS16_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P62269","RS18_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P68104","EF1A1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P78371","TCPB_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q05639","EF1A2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q06830","PRDX1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q08380","LG3BP_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q13162","PRDX4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q16543","CDC37_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q6NSJ2","PHLB3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q8NF91","SYNE1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q9BUJ2","HNRL1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06485","US02_HHV11 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","O43513","MED7_HUMAN ","affinity chromatography technology","10353252"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","P24863","CCNC_HUMAN ","affinity chromatography technology","10353252"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","Q9ULK4","MED23_HUMAN ","affinity chromatography technology","10353252"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q99856","ARI3A_HUMAN ","affinity chromatography technology","21248039"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P07437","TBB5_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P12036","NFH_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P18621","RL17_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P42677","RS27_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P62269","RS18_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P62736","ACTA_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P62805","H4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P62829","RL23_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P63267","ACTH_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","Q71U36","TBA1A_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","Q71UM5","RS27L_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","Q9BQE3","TBA1C_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q8IUQ4","SIAH1_HUMAN ","affinity chromatography technology","21632771"
"Human herpesvirus 1 STRAIN 17","10299","P08392","ICP4_HHV11 ","P29590","PML_HUMAN ","affinity chromatography technology","22875967"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P12931","SRC_HUMAN ","affinity chromatography technology","16537602"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P56524","HDAC4_HUMAN ","affinity chromatography technology","15194749"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q93009","UBP7_HUMAN ","affinity chromatography technology","18590780"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q93009","UBP7_HUMAN ","affinity chromatography technology","22993145"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q93009","UBP7_HUMAN ","affinity chromatography technology","9847347"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q9UKL0","RCOR1_HUMAN ","affinity chromatography technology","15897453"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q9UKV0","HDAC9_HUMAN ","affinity chromatography technology","15194749"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q9UQL6","HDAC5_HUMAN ","affinity chromatography technology","15194749"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P07947","YES_HUMAN ","affinity chromatography technology","16537602"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P0CG48","UBC_HUMAN ","affinity chromatography technology","21632771"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P0CG48","UBC_HUMAN ","affinity chromatography technology","20075863"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P29590","PML_HUMAN ","affinity chromatography technology","22875967"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q92878","RAD50_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q96B97","SH3K1_HUMAN ","affinity chromatography technology","16537602"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q96B97","SH3K1_HUMAN ","affinity chromatography technology","15824310"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1 STRAIN 17","10299","P10212","TRM1_HHV11 ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1 STRAIN 17","10299","P32888","TRX1_HHV11 ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1 STRAIN 17","10299","P10220","LTP_HHV11 ","P0CG48","UBC_HUMAN ","affinity chromatography technology","23077308"
"Human herpesvirus 1 STRAIN 17","10299","P10193","OBP_HHV11 ","P51610","HCFC1_HUMAN ","affinity chromatography technology","20133788"
"Human herpesvirus 1 STRAIN 17","10299","P04293","DPOL_HHV11 ","P51610","HCFC1_HUMAN ","affinity chromatography technology","20133788"
"Human herpesvirus 1 STRAIN 17","10299","P10236","PRIM_HHV11 ","P51610","HCFC1_HUMAN ","affinity chromatography technology","20133788"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","O76064","RNF8_HUMAN ","affinity chromatography technology","20075863"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","O76064","RNF8_HUMAN ","affinity chromatography technology","22405594"
"Human herpesvirus 1 STRAIN 17","10299","P10211","GB_HHV11 ","P0CG48","UBC_HUMAN ","affinity chromatography technology","17686835"
"Human herpesvirus 1 STRAIN 17","10299","P10220","LTP_HHV11 ","Q99816","TS101_HUMAN ","affinity chromatography technology","23077308"
